EnterQueueTimestamp_year,EnterQueueTimestamp_month,EnterQueueTimestamp_day,EnterQueueTimestamp_day_of_week,EnterQueueTimestamp_hour,EnterQueueTimestamp_minute,party_size,queue_62868,queue_69991,queue_66421,queue_75252,queue_5000000899,time_since_last_ticket,pushed_back_by_consumer,pushed_back_by_host,pushed_back_by_system,entering_host,result_arrived,result_no_show,result_removed,result_left,result_removed_by_system,time_to_redeem,time_to_confirm,pulled_status_updates,summoning_host
2018,1,1,1,8,55,1,0,1,0,0,0,19,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,8,55,1,0,1,0,0,0,14,20,0,0,-1,1,0,0,0,0,2,-1,0,3
2018,1,1,1,9,1,1,0,0,0,1,0,-1,0,0,0,128566,1,0,0,0,0,2,-1,0,6
2018,1,1,1,9,1,1,0,1,0,0,0,41,0,0,0,-1,1,0,0,0,0,30,-1,0,4
2018,1,1,1,9,1,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,3,-1,0,7
2018,1,1,1,9,1,1,0,0,1,0,0,54,0,0,0,-1,0,1,0,0,0,-1,-1,0,8
2018,1,1,1,9,1,1,0,0,1,0,0,3,0,0,0,-1,1,0,0,0,0,9,-1,0,8
2018,1,1,1,9,2,1,0,0,1,0,0,52,0,0,0,-1,1,0,0,0,0,10,-1,0,7
2018,1,1,1,9,3,1,0,0,0,1,0,-1,0,0,0,-1,1,0,0,0,0,30,-1,0,9
2018,1,1,1,9,3,1,0,1,0,0,0,221,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,9,3,1,0,0,0,1,0,64,0,0,0,-1,1,0,0,0,0,22,-1,0,10
2018,1,1,1,9,5,1,0,1,0,0,0,104,30,0,0,-1,1,0,0,0,0,27,-1,0,2
2018,1,1,1,9,7,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,9,-1,0,7
2018,1,1,1,9,9,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,58,-1,0,11
2018,1,1,1,9,9,1,0,0,1,0,0,111,0,0,0,-1,1,0,0,0,0,16,-1,0,7
2018,1,1,1,9,10,1,0,1,0,0,0,58,0,0,0,-1,1,0,0,0,0,10,-1,1,3
2018,1,1,1,9,10,1,0,1,0,0,0,60,0,0,0,-1,1,0,0,0,0,23,-1,0,4
2018,1,1,1,9,11,1,0,1,0,0,0,355,20,0,0,-1,1,0,0,0,0,12,-1,0,5
2018,1,1,1,9,11,1,0,1,0,0,0,18,0,0,0,-1,1,0,0,0,0,284,-1,0,4
2018,1,1,1,9,12,1,0,1,0,0,0,32,20,0,0,-1,0,1,0,0,0,-1,-1,0,5
2018,1,1,1,9,12,1,0,1,0,0,0,271,0,0,0,-1,1,0,0,0,0,18,-1,0,-1
2018,1,1,1,9,12,1,0,1,0,0,0,78,0,0,0,-1,1,0,0,0,0,34,-1,0,12
2018,1,1,1,9,13,1,0,1,0,0,0,205,0,0,0,-1,1,0,0,0,0,20,-1,2,4
2018,1,1,1,9,15,1,0,1,0,0,0,440,0,0,0,-1,1,0,0,0,0,28,-1,0,12
2018,1,1,1,9,15,1,0,1,0,0,0,27,10,0,0,-1,1,0,0,0,0,31,-1,9,2
2018,1,1,1,9,16,1,0,0,1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,-1,0,7
2018,1,1,1,9,16,1,0,1,0,0,0,92,20,0,0,-1,1,0,0,0,0,75,-1,1,4
2018,1,1,1,9,16,1,0,1,0,0,0,193,10,0,0,-1,1,0,0,0,0,77,-1,0,2
2018,1,1,1,9,16,1,0,1,0,0,0,59,0,0,0,-1,1,0,0,0,0,18,-1,3,5
2018,1,1,1,9,17,1,0,1,0,0,0,539,10,0,0,-1,0,1,0,0,0,-1,-1,0,2
2018,1,1,1,9,17,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,19,-1,0,8
2018,1,1,1,9,17,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,7,-1,0,7
2018,1,1,1,9,17,1,0,0,1,0,0,24,0,0,0,-1,1,0,0,0,0,22,-1,0,8
2018,1,1,1,9,17,1,0,1,0,0,0,84,0,0,0,-1,1,0,0,0,0,131,-1,0,5
2018,1,1,1,9,18,1,0,1,0,0,0,9,0,0,0,-1,0,1,0,0,0,-1,-1,0,3
2018,1,1,1,9,18,1,0,1,0,0,0,10,0,0,0,-1,1,0,0,0,0,1,-1,0,3
2018,1,1,1,9,20,1,0,1,0,0,0,17,0,0,0,-1,1,0,0,0,0,24,-1,0,4
2018,1,1,1,9,20,1,0,0,1,0,0,108,0,0,0,-1,1,0,0,0,0,15,-1,0,8
2018,1,1,1,9,20,1,0,1,0,0,0,166,0,0,0,-1,1,0,0,0,0,2,-1,0,3
2018,1,1,1,9,20,1,0,0,1,0,0,60,0,0,0,-1,0,1,0,0,0,-1,-1,0,7
2018,1,1,1,9,21,1,0,1,0,0,0,56,0,0,0,-1,1,0,0,0,0,23,-1,5,12
2018,1,1,1,9,22,1,0,0,1,0,0,109,0,0,0,-1,1,0,0,0,0,38,-1,0,7
2018,1,1,1,9,22,1,0,1,0,0,0,93,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,9,22,1,0,0,1,0,0,42,0,0,0,-1,1,0,0,0,0,13,-1,0,8
2018,1,1,1,9,23,1,0,0,0,1,0,-1,0,0,0,-1,1,0,0,0,0,35,-1,0,6
2018,1,1,1,9,23,1,0,0,0,1,0,67,0,0,0,-1,1,0,0,0,0,93,-1,0,10
2018,1,1,1,9,23,1,0,1,0,0,0,41,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,9,24,1,0,1,0,0,0,22,0,0,0,-1,1,0,0,0,0,17,-1,0,4
2018,1,1,1,9,24,1,0,0,1,0,0,99,0,0,0,-1,1,0,0,0,0,26,-1,0,11
2018,1,1,1,9,25,1,0,0,1,0,0,61,0,0,0,-1,1,0,0,0,0,21,-1,0,8
2018,1,1,1,9,26,1,0,1,0,0,0,21,0,0,0,-1,1,0,0,0,0,40,-1,0,4
2018,1,1,1,9,26,1,0,1,0,0,0,119,0,0,0,-1,1,0,0,0,0,2,-1,0,3
2018,1,1,1,9,27,1,0,0,0,1,0,-1,0,0,0,129426,1,0,0,0,0,37,-1,0,6
2018,1,1,1,9,27,1,0,1,0,0,0,60,0,0,0,-1,1,0,0,0,0,18,-1,0,5
2018,1,1,1,9,28,1,0,1,0,0,0,4,0,0,0,-1,1,0,0,0,0,362,-1,0,3
2018,1,1,1,9,29,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,6,-1,0,7
2018,1,1,1,9,29,1,0,1,0,0,0,32,0,0,0,-1,1,0,0,0,0,91,-1,0,2
2018,1,1,1,9,30,1,0,1,0,0,0,25,0,0,0,-1,1,0,0,0,0,16,-1,0,4
2018,1,1,1,9,31,1,0,1,0,0,0,16,0,0,0,-1,1,0,0,0,0,18,-1,2,5
2018,1,1,1,9,31,1,0,0,1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,-1,0,8
2018,1,1,1,9,31,1,0,0,0,1,0,-1,0,0,0,-1,0,1,0,0,0,-1,-1,0,13
2018,1,1,1,9,32,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,10,-1,0,8
2018,1,1,1,9,33,1,0,1,0,0,0,-1,0,0,0,-1,0,0,0,1,0,-1,-1,0,-1
2018,1,1,1,9,34,1,0,1,0,0,0,10,30,0,0,-1,1,0,0,0,0,25,-1,4,12
2018,1,1,1,9,34,1,0,1,0,0,0,167,20,0,0,-1,1,0,0,0,0,3,-1,10,3
2018,1,1,1,9,35,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,19,-1,0,7
2018,1,1,1,9,36,1,0,1,0,0,0,162,0,0,0,-1,1,0,0,0,0,27,-1,0,2
2018,1,1,1,9,36,1,0,1,0,0,0,14,0,0,0,-1,1,0,0,0,0,30,-1,3,4
2018,1,1,1,9,37,1,0,1,0,0,0,71,0,0,0,-1,0,1,0,0,0,-1,-1,0,12
2018,1,1,1,9,37,1,0,1,0,0,0,21,10,0,0,-1,1,0,0,0,0,49,-1,0,4
2018,1,1,1,9,38,1,0,1,0,0,0,31,0,0,0,-1,1,0,0,0,0,51,-1,0,12
2018,1,1,1,9,38,1,0,1,0,0,0,18,0,0,0,-1,1,0,0,0,0,66,-1,2,12
